epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,259.027,2.36018,3.15927,2.71284,0.31587,0.05085,0.0552,0.02222,2.72033,3.73511,3.49674,0.0015116,0.0015116,0.0015116
76,262.522,2.38647,2.93147,2.74535,0.08372,0.0678,0.03182,0.01232,2.66261,3.38882,3.30111,0.001505,0.001505,0.001505
77,265.991,2.54681,3.0168,2.84482,0.03027,0.83051,0.0974,0.03666,2.74392,3.22674,3.37218,0.0014984,0.0014984,0.0014984
78,269.459,2.39792,2.97766,2.72698,0.0576,0.0678,0.07718,0.03336,2.87481,3.24047,3.3979,0.0014918,0.0014918,0.0014918
79,273.155,2.37221,2.91822,2.68509,0.05775,0.22034,0.086,0.0387,2.65636,3.70822,3.32711,0.0014852,0.0014852,0.0014852
80,276.799,2.33104,3.07802,2.63417,0.14357,0.0678,0.04052,0.01531,2.52674,3.99599,3.24812,0.0014786,0.0014786,0.0014786
81,280.228,2.33083,3.17679,2.67444,0.12993,0.05085,0.06606,0.02559,2.77252,4.07131,3.41674,0.001472,0.001472,0.001472
82,283.697,2.41355,3.23128,2.71867,0.03441,0.57627,0.07654,0.02174,2.64545,3.49739,3.269,0.0014654,0.0014654,0.0014654
83,287.169,2.32954,2.97979,2.65003,0.31469,0.20339,0.16115,0.05688,2.76831,2.91276,3.33525,0.0014588,0.0014588,0.0014588
84,290.664,2.23433,2.86019,2.56732,0.19009,0.0339,0.07218,0.03266,2.65093,3.81939,3.57764,0.0014522,0.0014522,0.0014522
85,294.147,2.24745,3,2.60352,0.24517,0.05085,0.06513,0.03048,2.72778,3.9858,3.6211,0.0014456,0.0014456,0.0014456
86,297.591,2.12555,2.6258,2.55722,0.2281,0.0678,0.07668,0.03486,2.77228,3.9781,3.56899,0.001439,0.001439,0.001439
87,301.07,2.48827,3.47591,2.70237,0.50442,0.0678,0.08111,0.04049,2.66048,4.04088,3.5355,0.0014324,0.0014324,0.0014324
88,304.639,2.19505,3.02702,2.60507,0.41332,0.0678,0.08399,0.04046,2.64477,3.87024,3.50201,0.0014258,0.0014258,0.0014258
89,308.182,2.38282,2.91922,2.60996,0.29133,0.06299,0.10467,0.05179,2.45504,3.6835,3.24314,0.0014192,0.0014192,0.0014192
90,311.67,2.21723,2.56538,2.57365,0.07163,0.86441,0.18401,0.08081,2.40651,3.41589,3.06216,0.0014126,0.0014126,0.0014126
91,315.404,2.29373,2.6429,2.62717,0.13984,0.22034,0.14668,0.06223,2.40931,3.39448,3.02654,0.001406,0.001406,0.001406
92,318.976,2.18284,2.77706,2.53347,0.17969,0.11864,0.12453,0.04915,2.42454,3.20529,3.02985,0.0013994,0.0013994,0.0013994
93,322.454,2.25708,2.57005,2.55265,0.14946,0.25424,0.09001,0.02728,2.53488,2.904,3.14415,0.0013928,0.0013928,0.0013928
94,325.954,2.39004,3.07966,2.64672,0.17022,0.15299,0.10686,0.04233,2.51732,3.56095,3.14562,0.0013862,0.0013862,0.0013862
95,329.424,2.12972,2.91642,2.55903,0.84424,0.0339,0.07417,0.03625,2.29214,4.16989,3.06873,0.0013796,0.0013796,0.0013796
96,332.889,2.3231,2.89029,2.62142,0.05639,0.25424,0.07006,0.03171,2.28656,4.04182,3.10837,0.001373,0.001373,0.001373
97,336.359,2.19444,2.96994,2.61113,0.28355,0.0678,0.11269,0.05364,2.6577,3.9104,3.45253,0.0013664,0.0013664,0.0013664
98,339.898,2.0179,2.80477,2.44591,0.15644,0.18644,0.12633,0.04328,2.56841,3.41786,3.31323,0.0013598,0.0013598,0.0013598
99,343.504,2.28756,2.87898,2.72921,0.4684,0.25424,0.23125,0.08772,2.41467,3.12248,3.09702,0.0013532,0.0013532,0.0013532
100,347.05,2.30455,3.15304,2.71188,0.53972,0.05085,0.08658,0.04746,2.38363,4.02734,3.07721,0.0013466,0.0013466,0.0013466
101,350.518,2.0407,2.65898,2.47216,0.34292,0.0678,0.0713,0.03473,2.43391,3.94016,3.15181,0.00134,0.00134,0.00134
102,354.099,1.92475,2.54168,2.37693,0.37727,0.05085,0.09754,0.03711,2.42902,3.70846,3.16827,0.0013334,0.0013334,0.0013334
103,357.675,2.31122,2.87909,2.58401,0.0415,0.52542,0.15647,0.05169,2.43518,3.6268,3.15493,0.0013268,0.0013268,0.0013268
104,361.221,2.21458,2.68419,2.52985,0.51143,0.0678,0.11439,0.05498,2.4643,3.54724,3.26925,0.0013202,0.0013202,0.0013202
105,364.705,2.0936,2.45104,2.5321,0.35922,0.0678,0.11869,0.05456,2.44763,3.69107,3.2526,0.0013136,0.0013136,0.0013136
106,368.21,2.08752,2.73615,2.57637,0.04545,0.45763,0.10398,0.03765,2.3547,3.76996,3.13301,0.001307,0.001307,0.001307
107,371.651,2.05068,2.50894,2.49605,0.06724,0.18644,0.07685,0.02809,2.43581,3.75037,3.16743,0.0013004,0.0013004,0.0013004
108,375.186,2.02613,2.44659,2.44614,0.04513,0.54237,0.09777,0.04597,2.40245,3.58786,3.09752,0.0012938,0.0012938,0.0012938
109,378.668,2.15578,2.64128,2.52883,0.7447,0.04977,0.09174,0.04358,2.39906,3.67628,3.10654,0.0012872,0.0012872,0.0012872
110,382.172,2.20524,2.53522,2.56846,0.19129,0.08475,0.09216,0.04467,2.67563,3.55001,3.22207,0.0012806,0.0012806,0.0012806
111,385.616,1.75224,2.68012,2.31192,0.30988,0.05085,0.09141,0.04078,2.70284,3.83864,3.26147,0.001274,0.001274,0.001274
112,389.154,1.97386,2.45454,2.46357,0.17623,0.10169,0.11328,0.05624,2.60477,3.88662,3.28496,0.0012674,0.0012674,0.0012674
113,392.706,2.09295,2.8584,2.51365,0.41125,0.0678,0.13569,0.06498,2.41401,3.80257,3.03472,0.0012608,0.0012608,0.0012608
114,396.208,2.05648,2.18927,2.42427,0.05618,0.33898,0.10434,0.0423,2.36232,4.1138,3.06389,0.0012542,0.0012542,0.0012542
115,399.693,1.96949,2.40476,2.40346,0.69297,0.0678,0.08785,0.04535,2.33751,4.01048,2.97696,0.0012476,0.0012476,0.0012476
116,403.262,2.11168,2.67549,2.49908,0.17235,0.10169,0.10987,0.05316,2.51078,3.59023,3.21304,0.001241,0.001241,0.001241
117,406.762,1.94167,2.82495,2.33361,0.60194,0.05085,0.09135,0.0471,2.60423,4.06832,3.43974,0.0012344,0.0012344,0.0012344
118,410.249,2.04716,2.4107,2.47443,0.25373,0.0678,0.07804,0.03864,2.5487,4.06693,3.3134,0.0012278,0.0012278,0.0012278
119,413.888,1.94411,2.54813,2.29773,0.89321,0.05085,0.09301,0.04864,2.57448,3.56506,3.11653,0.0012212,0.0012212,0.0012212
120,417.442,2.01556,2.58547,2.44038,0.06421,0.59322,0.10651,0.05047,2.42334,3.46616,3.14639,0.0012146,0.0012146,0.0012146
121,420.959,2.02081,2.62721,2.46794,0.24761,0.08475,0.10106,0.04925,2.41598,3.62207,3.11425,0.001208,0.001208,0.001208
122,424.42,1.92351,2.51786,2.28558,0.08209,0.55932,0.14873,0.07921,2.25575,3.60459,2.89606,0.0012014,0.0012014,0.0012014
123,427.972,1.93464,2.10979,2.40236,0.07895,0.45763,0.11434,0.06163,2.21649,3.92715,2.87165,0.0011948,0.0011948,0.0011948
124,431.491,1.91449,2.31666,2.36663,0.05165,0.42373,0.09706,0.0389,2.27648,4.01614,2.92572,0.0011882,0.0011882,0.0011882
125,434.969,2.16167,2.36026,2.44727,0.58958,0.05085,0.09177,0.03846,2.30391,3.80696,2.92372,0.0011816,0.0011816,0.0011816
126,438.557,1.91021,2.01823,2.32556,0.30212,0.28814,0.22889,0.08102,2.24012,2.9643,2.85885,0.001175,0.001175,0.001175
127,442.165,1.83757,2.71145,2.30127,0.30228,0.13559,0.17274,0.082,2.20406,3.10772,2.82721,0.0011684,0.0011684,0.0011684
128,445.763,1.95053,2.80814,2.39032,0.20435,0.08475,0.1423,0.06752,2.227,3.35803,2.9151,0.0011618,0.0011618,0.0011618
129,449.346,2.09307,2.32123,2.47413,0.0661,0.66102,0.1318,0.06077,2.25649,3.58087,2.94684,0.0011552,0.0011552,0.0011552
130,452.821,1.90743,2.30588,2.39078,0.07031,0.45763,0.11284,0.05815,2.26851,3.88245,2.99789,0.0011486,0.0011486,0.0011486
131,456.336,2.06546,2.59284,2.47491,0.12195,0.25424,0.11655,0.06282,2.36564,4.10047,3.10717,0.001142,0.001142,0.001142
132,459.873,1.95086,2.3054,2.40003,0.1039,0.54237,0.18223,0.09843,2.25996,3.60014,3.02615,0.0011354,0.0011354,0.0011354
133,463.394,1.88245,2.16773,2.29253,0.10819,0.62712,0.18413,0.09486,2.29325,3.49124,3.06089,0.0011288,0.0011288,0.0011288
134,466.898,1.8459,2.14165,2.33663,0.11915,0.47458,0.15795,0.07308,2.28235,3.74683,3.01666,0.0011222,0.0011222,0.0011222
135,470.396,1.83464,2.11505,2.29893,0.07222,0.44068,0.13252,0.06297,2.36296,3.76006,2.92052,0.0011156,0.0011156,0.0011156
136,473.985,2.02484,2.08281,2.48138,0.1638,0.10169,0.10674,0.054,2.44563,3.66624,3.03377,0.001109,0.001109,0.001109
137,477.552,1.95794,2.1742,2.40234,0.30047,0.0678,0.07956,0.03212,2.3873,3.56143,2.94191,0.0011024,0.0011024,0.0011024
138,481.067,1.91701,2.08631,2.37542,0.3419,0.07063,0.11203,0.04339,2.28035,3.59461,2.91134,0.0010958,0.0010958,0.0010958
